date,week,month,quarter,year,channel,category,impressions,clicks,conversions,revenue,spend,ctr_pct,cvr_pct,roas,cac,cpm,roi_pct
2023-01-01,52,1,1,2023,Email,Financial Services,47736,11921,576,187956.95,889.04,24.975,4.832,211.42,1.54,18.62,21041.56
2023-01-01,52,1,1,2023,Email,Business Solutions,43342,8271,415,78327.62,902.91,19.083,5.018,86.75,2.18,20.83,8575.02
2023-01-01,52,1,1,2023,Email,Marketing Tools,40620,10196,507,45393.96,760.7,25.101,4.973,59.67,1.5,18.73,5867.39
2023-01-01,52,1,1,2023,Email,Tech Products,43893,9089,414,59212.93,841.21,20.708,4.555,70.39,2.03,19.17,6939.02
2023-01-01,52,1,1,2023,Social,Financial Services,84010,5993,141,43914.05,6661.75,7.135,2.353,6.59,47.25,79.3,559.2
2023-01-01,52,1,1,2023,Social,Business Solutions,89585,6521,164,30900.77,6516.7,7.279,2.515,4.74,39.74,72.74,374.18
2023-01-01,52,1,1,2023,Social,Marketing Tools,83872,6046,132,13665.8,7334.62,7.209,2.183,1.86,55.57,87.45,86.32
2023-01-01,52,1,1,2023,Social,Tech Products,90332,6802,150,22551.41,7140.06,7.531,2.205,3.16,47.6,79.04,215.84
2023-01-01,52,1,1,2023,Paid Search,Financial Services,38393,5750,323,111821.47,5481.12,14.978,5.617,20.4,16.97,142.76,1940.12
2023-01-01,52,1,1,2023,Paid Search,Business Solutions,48172,6817,448,83654.27,6770.36,14.153,6.572,12.36,15.11,140.55,1135.6
2023-01-01,52,1,1,2023,Paid Search,Marketing Tools,53728,8724,645,66113.61,8217.0,16.238,7.393,8.05,12.74,152.94,704.6
2023-01-01,52,1,1,2023,Paid Search,Tech Products,52865,6950,412,54306.38,7652.73,13.148,5.928,7.1,18.57,144.76,609.63
2023-01-01,52,1,1,2023,Organic,Financial Services,33614,3756,228,70869.74,321.41,11.177,6.07,220.5,1.41,9.56,21949.64
2023-01-01,52,1,1,2023,Organic,Business Solutions,35781,3831,230,38929.43,392.65,10.707,6.004,99.15,1.71,10.97,9814.54
2023-01-01,52,1,1,2023,Organic,Marketing Tools,39011,4258,200,20198.75,406.25,10.915,4.697,49.72,2.03,10.41,4872.0
2023-01-01,52,1,1,2023,Organic,Tech Products,38403,4983,240,33814.92,354.53,12.977,4.816,95.38,1.48,9.23,9437.96
2023-01-01,52,1,1,2023,Display,Financial Services,138138,5729,65,18984.4,6645.79,4.148,1.135,2.86,102.24,48.11,185.66
2023-01-01,52,1,1,2023,Display,Business Solutions,112185,4796,60,11959.61,5578.08,4.276,1.251,2.14,92.97,49.72,114.4
2023-01-01,52,1,1,2023,Display,Marketing Tools,102265,4352,56,5385.2,5390.35,4.256,1.287,1.0,96.26,52.71,-0.1
2023-01-01,52,1,1,2023,Display,Tech Products,120320,4845,57,7480.52,5544.21,4.027,1.176,1.35,97.27,46.08,34.92
2023-01-08,1,1,1,2023,Email,Financial Services,42301,9687,428,137194.77,914.98,22.9,4.418,149.94,2.14,21.63,14894.29
2023-01-08,1,1,1,2023,Email,Business Solutions,46838,10027,505,88357.59,857.51,21.409,5.036,103.04,1.7,18.31,10203.97
2023-01-08,1,1,1,2023,Email,Marketing Tools,47681,9423,498,50225.44,979.06,19.764,5.285,51.3,1.97,20.53,5029.97
2023-01-08,1,1,1,2023,Email,Tech Products,59794,14353,609,95237.98,1205.29,24.004,4.243,79.02,1.98,20.16,7801.67
2023-01-08,1,1,1,2023,Social,Financial Services,93537,8372,206,60778.92,7075.79,8.951,2.461,8.59,34.35,75.65,758.97
2023-01-08,1,1,1,2023,Social,Business Solutions,80866,7086,204,34018.47,6483.19,8.763,2.879,5.25,31.78,80.17,424.72
2023-01-08,1,1,1,2023,Social,Marketing Tools,80543,5906,136,12500.4,7014.21,7.333,2.303,1.78,51.58,87.09,78.22
2023-01-08,1,1,1,2023,Social,Tech Products,77404,6227,171,24118.74,6776.61,8.045,2.746,3.56,39.63,87.55,255.91
2023-01-08,1,1,1,2023,Paid Search,Financial Services,55520,7707,521,160080.49,7969.63,13.883,6.76,20.09,15.3,143.55,1908.63
2023-01-08,1,1,1,2023,Paid Search,Business Solutions,38173,5914,400,67361.89,5472.46,15.493,6.764,12.31,13.68,143.36,1130.93
2023-01-08,1,1,1,2023,Paid Search,Marketing Tools,54504,7536,455,43133.82,8969.7,13.828,6.038,4.81,19.71,164.57,380.88
2023-01-08,1,1,1,2023,Paid Search,Tech Products,42019,6628,483,66360.09,6590.53,15.775,7.287,10.07,13.64,156.85,906.9
2023-01-08,1,1,1,2023,Organic,Financial Services,34514,4306,256,82506.13,316.86,12.476,5.945,260.39,1.24,9.18,25938.67
2023-01-08,1,1,1,2023,Organic,Business Solutions,41328,4692,243,40826.11,420.79,11.355,5.179,97.02,1.73,10.18,9602.25
2023-01-08,1,1,1,2023,Organic,Marketing Tools,39029,4004,230,20654.79,401.62,10.26,5.744,51.43,1.75,10.29,5042.87
